dealership,state,city,channel,url,source
Norristown CDJR,PA,Norristown,Instagram,NO ACCOUNT FOUND,web-2026-08-22
Norristown CDJR,PA,Norristown,TikTok,NO ACCOUNT FOUND,web-2026-08-22
Greenway Kia of Franklin,TN,Franklin,Website,https://www.greenwaykiafranklin.com/,sheet
Greenway Kia of Franklin,TN,Franklin,Facebook,https://www.facebook.com/GreenwayKiaofFranklin/,sheet
Greenway Kia of Franklin,TN,Franklin,Instagram,https://www.instagram.com/greenwaykiafranklintn/,sheet
Greenway Kia of Franklin,TN,Franklin,X,https://twitter.com/FranklinKia1,sheet
Greenway Kia of Franklin,TN,Franklin,LinkedIn,https://www.linkedin.com/company/greenway-kia-of-franklin,web-2026-08-22
Greenway Kia of Franklin,TN,Franklin,TikTok,NO ACCOUNT FOUND,web-2026-08-22
Greenway Kia Hickory Hollow [PILOT],TN,Antioch,Website,https://www.greenwaykiahickoryhollow.com/,sheet
Greenway Kia Hickory Hollow [PILOT],TN,Antioch,Facebook,https://www.facebook.com/greenwaykiahickoryhollow/,sheet
Greenway Kia Hickory Hollow [PILOT],TN,Antioch,Instagram,https://www.instagram.com/greenwaykiahh/,sheet
Greenway Kia Hickory Hollow [PILOT],TN,Antioch,TikTok,https://www.tiktok.com/@greenwaykia.hicko,sheet
Greenway Kia Hickory Hollow [PILOT],TN,Antioch,YouTube,https://www.youtube.com/channel/UC2mj-iNDvu6MQHpPhVnQYkw,sheet
Greenway Kia Hickory Hollow [PILOT],TN,Antioch,Pinterest,https://www.pinterest.com/GreenwayKIAHH/,sheet
Greenway Kia Hickory Hollow [PILOT],TN,Antioch,Facebook (legacy Universal Kia - dead),https://www.facebook.com/universalkiahickoryhollow,sheet
Greenway Kia Hickory Hollow [PILOT],TN,Antioch,X (legacy Universal Kia),https://x.com/UniversalKiahh,sheet
Greenway Kia Hickory Hollow [PILOT],TN,Antioch,Instagram (legacy Universal Kia),https://www.instagram.com/universalkiahh/,sheet
Greenway Kia of Rivergate [PILOT],TN,Madison,Website,https://www.greenwaykiarivergate.com/,sheet
